Provinsi,Jumlah Desa
Aceh,6515
Sumatera Utara,6113
Sumatera Barat,1159
Riau,1865
Jambi,1562
Sumatera Selatan,3263
Bengkulu,1514
Lampung,2654
Kepulauan Bangka Belitung,393
Kepulauan Riau,417
DKI Jakarta,267
Jawa Barat,5957
Jawa Tengah,8562
DI Yogyakarta,438
Jawa Timur,8496
Banten,1552
Bali,717
Nusa Tenggara Barat,1151
Nusa Tenggara Timur,3353
Kalimantan Barat,2142
Kalimantan Tengah,1576
Kalimantan Selatan,2007
Kalimantan Timur,1038
Kalimantan Utara,484
Sulawesi Utara,1840
Sulawesi Tengah,2020
Sulawesi Selatan,3051
Sulawesi Tenggara,2309
Gorontalo,734
Sulawesi Barat,650
Maluku,1248
Maluku Utara,1199
Papua Barat,1987
Papua,5561
Indonesia,83794
,
Catatan,
<sup>,
1</sup> Termasuk kelurahan dan Unit Permukiman Transmigrasi (UPT)/<i>Include Transmigration Settlement Unit ,
</i>,
