parent_id,kode_bps,nama_bps,kode_dagri,nama_dagri
11,1101,SIMEULUE,11.09,KAB. SIMEULUE
11,1102,ACEH SINGKIL,11.10,KAB. ACEH SINGKIL
11,1103,ACEH SELATAN,11.01,KAB. ACEH SELATAN
11,1104,ACEH TENGGARA,11.02,KAB. ACEH TENGGARA
11,1105,ACEH TIMUR,11.03,KAB. ACEH TIMUR
11,1106,ACEH TENGAH,11.04,KAB. ACEH TENGAH
11,1107,ACEH BARAT,11.05,KAB. ACEH BARAT
11,1108,ACEH BESAR,11.06,KAB. ACEH BESAR
11,1109,PIDIE,11.07,KAB. PIDIE
11,1110,BIREUEN,11.11,KAB. BIREUEN
11,1111,ACEH UTARA,11.08,KAB. ACEH UTARA
11,1112,ACEH BARAT DAYA,11.12,KAB. ACEH BARAT DAYA
11,1113,GAYO LUES,11.13,KAB. GAYO LUES
11,1114,ACEH TAMIANG,11.16,KAB. ACEH TAMIANG
11,1115,NAGAN RAYA,11.15,KAB. NAGAN RAYA
11,1116,ACEH JAYA,11.14,KAB. ACEH JAYA
11,1117,BENER MERIAH,11.17,KAB. BENER MERIAH
11,1118,PIDIE JAYA,11.18,KAB. PIDIE JAYA
11,1171,BANDA ACEH,11.71,KOTA BANDA ACEH
11,1172,SABANG,11.72,KOTA SABANG
11,1173,LANGSA,11.74,KOTA LANGSA
11,1174,LHOKSEUMAWE,11.73,KOTA LHOKSEUMAWE
11,1175,SUBULUSSALAM,11.75,KOTA SUBULUSSALAM
12,1201,NIAS,12.04,KAB. NIAS
12,1202,MANDAILING NATAL,12.13,KAB. MANDAILING NATAL
12,1203,TAPANULI SELATAN,12.03,KAB. TAPANULI SELATAN
12,1204,TAPANULI TENGAH,12.01,KAB. TAPANULI TENGAH
12,1205,TAPANULI UTARA,12.02,KAB. TAPANULI UTARA
12,1206,TOBA SAMOSIR,12.12,KAB. TOBA SAMOSIR
12,1207,LABUHAN BATU,12.10,KAB. LABUHANBATU
12,1208,ASAHAN,12.09,KAB. ASAHAN
12,1209,SIMALUNGUN,12.08,KAB. SIMALUNGUN
12,1210,DAIRI,12.11,KAB. DAIRI
12,1211,KARO,12.06,KAB. KARO
12,1212,DELI SERDANG,12.07,KAB. DELI SERDANG
12,1213,LANGKAT,12.05,KAB. LANGKAT
12,1214,NIAS SELATAN,12.14,KAB. NIAS SELATAN
12,1215,HUMBANG HASUNDUTAN,12.16,KAB. HUMBANG HASUNDUTAN
12,1216,PAKPAK BHARAT,12.15,KAB. PAKPAK BHARAT
12,1217,SAMOSIR,12.17,KAB. SAMOSIR
12,1218,SERDANG BEDAGAI,12.18,KAB. SERDANG BEDAGAI
12,1219,BATU BARA,12.19,KAB. BATU BARA
12,1220,PADANG LAWAS UTARA,12.20,KAB. PADANG LAWAS UTARA
12,1221,PADANG LAWAS,12.21,KAB. PADANG LAWAS
12,1222,LABUHAN BATU SELATAN,12.22,KAB. LABUHANBATU SELATAN
12,1223,LABUHAN BATU UTARA,12.23,KAB. LABUHANBATU UTARA
12,1224,NIAS UTARA,12.24,KAB. NIAS UTARA
12,1225,NIAS BARAT,12.25,KAB. NIAS BARAT
12,1271,SIBOLGA,12.73,KOTA SIBOLGA
12,1272,TANJUNG BALAI,12.74,KOTA TANJUNG BALAI
12,1273,PEMATANG SIANTAR,12.72,KOTA PEMATANGSIANTAR
12,1274,TEBING TINGGI,12.76,KOTA TEBING TINGGI
12,1275,MEDAN,12.71,KOTA MEDAN
12,1276,BINJAI,12.75,KOTA BINJAI
12,1277,PADANGSIDIMPUAN,12.77,KOTA PADANG SIDEMPUAN
12,1278,GUNUNGSITOLI,12.78,KOTA GUNUNGSITOLI
13,1301,KEPULAUAN MENTAWAI,13.09,KAB. KEPULAUAN MENTAWAI
13,1302,PESISIR SELATAN,13.01,KAB. PESISIR SELATAN
13,1303,SOLOK,13.02,KAB. SOLOK
13,1304,SIJUNJUNG,13.03,KAB. SIJUNJUNG
13,1305,TANAH DATAR,13.04,KAB. TANAH DATAR
13,1306,PADANG PARIAMAN,13.05,KAB. PADANG PARIAMAN
13,1307,AGAM,13.06,KAB. AGAM
13,1308,LIMA PULUH KOTA,13.07,KAB. LIMA PULUH KOTA
13,1309,PASAMAN,13.08,KAB. PASAMAN
13,1310,SOLOK SELATAN,13.11,KAB. SOLOK SELATAN
13,1311,DHARMASRAYA,13.10,KAB. DHARMASRAYA
13,1312,PASAMAN BARAT,13.12,KAB. PASAMAN BARAT
13,1371,PADANG,13.71,KOTA PADANG
13,1372,SOLOK,13.72,KOTA SOLOK
13,1373,SAWAH LUNTO,13.73,KOTA SAWAHLUNTO
13,1374,PADANG PANJANG,13.74,KOTA PADANG PANJANG
13,1375,BUKITTINGGI,13.75,KOTA BUKITTINGGI
13,1376,PAYAKUMBUH,13.76,KOTA PAYAKUMBUH
13,1377,PARIAMAN,13.77,KOTA PARIAMAN
